car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date,predicted_price,residual
car_118,2011,220000,1.4,Benzin,Manuelni 5 brzina,4500,Aleksinac,2026-07-15,4156.539667792751,343.46033220724894
car_119,2003,354202,1.4,Dizel,Manuelni 5 brzina,1350,Leskovac,2026-07-15,190.4653666294755,1159.5346333705245
car_120,2020,140345,1.5,Dizel,Manuelni 5 brzina,7990,Aranđelovac,2026-07-15,8327.785903127944,-337.78590312794404
car_121,2021,102836,1.2,Benzin,Manuelni 5 brzina,8550,Jagodina,2026-07-15,8908.020449757481,-358.0204497574814
car_122,2011,182905,1.4,Dizel,Manuelni 5 brzina,4100,Šabac,2026-07-15,4307.675363555327,-207.67536355532684
car_123,2008,248326,1.4,Benzin + Metan (CNG),Manuelni 5 brzina,2199,Obrenovac,2026-07-15,2758.8951118480754,-559.8951118480754
car_124,2019,161000,1.6,Dizel,Manuelni 5 brzina,7990,Borča,2026-07-15,7816.21939845507,173.7806015449296
car_125,2020,111591,1.2,Benzin,Manuelni 6 brzina,9690,Beograd,2026-07-15,8444.93796663939,1245.0620333606093
car_126,2021,106538,1.2,Benzin,Manuelni 5 brzina,8790,Beograd,2026-07-15,8892.937437337665,-102.93743733766496
car_127,2020,73012,1.2,Benzin,Manuelni 5 brzina,8590,Beograd,2026-07-15,8602.119905089976,-12.119905089975873
car_128,2018,85704,1.2,Benzin,,8800,Beograd,2026-07-15,7695.584856152076,1104.415143847924
car_129,2014,160000,1.0,Benzin,Manuelni 5 brzina,3700,Novi Beograd,2026-07-15,5683.23320682366,-1983.23320682366
car_130,2016,182000,1.6,Dizel,Manuelni 5 brzina,5700,Beograd,2026-07-15,6448.4230729230285,-748.4230729230285
car_131,2021,163730,1.5,Dizel,Manuelni 6 brzina,7900,Kragujevac,2026-07-15,8659.920785172864,-759.9207851728643
car_132,2014,192931,1.4,Dizel,Manuelni 5 brzina,4550,Kragujevac,2026-07-15,5549.062844317732,-999.062844317732
car_133,2022,129979,1.2,Benzin,Manuelni 5 brzina,8400,Beograd,2026-07-15,9224.844159281269,-824.8441592812687
car_134,2015,174000,1.0,Benzin,Manuelni 5 brzina,5350,Beograd,2026-07-15,6053.605277296567,-703.6052772965668
car_135,2016,185000,1.6,Dizel,Manuelni 5 brzina,4900,Beograd,2026-07-15,6436.200210346193,-1536.2002103461928
car_136,2020,68000,1.2,Benzin,Manuelni 5 brzina,9500,Novi Beograd,2026-07-15,8622.540234168342,877.4597658316579
car_137,2010,194000,1.4,Benzin,Manuelni 5 brzina,3890,Ugrinovci,2026-07-15,3835.0590476273046,54.94095237269539
car_138,2021,25690,1.2,Benzin,Manuelni 5 brzina,9999,Beograd,2026-07-15,9222.335435208342,776.6645647916575
car_139,2019,107616,1.5,Dizel,Manuelni 5 brzina,8950,Jagodina,2026-07-15,8033.72116372234,916.27883627766
car_140,2003,250000,1.4,Dizel,Manuelni 5 brzina,1480,Vranje,2026-07-15,615.0142753732954,864.9857246267046
car_141,2021,136000,1.2,Benzin,Manuelni 5 brzina,8150,Subotica,2026-07-15,8772.900778258085,-622.9007782580848
car_142,2022,70000,1.2,Benzin,Manuelni 5 brzina,9150,Beograd,2026-07-15,9469.21585077995,-319.2158507799504
car_143,2009,192839,1.4,Benzin,Manuelni 5 brzina,2950,Beograd,2026-07-15,3412.377199613182,-462.3771996131818
car_144,2010,198287,1.4,Benzin + Gas (TNG),Manuelni 5 brzina,4200,Niš,2026-07-15,3817.5925770050058,382.40742299499425
car_145,2005,321000,1.4,Dizel,Manuelni 5 brzina,1700,Kruševac,2026-07-15,1180.5640527175603,519.4359472824397
car_146,2011,215850,1.6,Dizel,Manuelni 5 brzina,4250,Šabac,2026-07-15,4173.4479610240405,76.55203897595948
car_147,2017,109605,1.2,Benzin,Manuelni 5 brzina,8450,Valjevo,2026-07-15,7170.793214171065,1279.2067858289347
car_148,2019,116000,1.2,Benzin,Manuelni 5 brzina,5990,Novi Beograd,2026-07-15,7999.562337107609,-2009.562337107609
car_149,2022,45776,1.2,Benzin,Manuelni 6 brzina,11899,Beograd,2026-07-15,9567.911391800375,2331.088608199625
car_150,2017,135000,1.2,Benzin,Manuelni 5 brzina,8500,Žarkovo,2026-07-15,7067.32668245815,1432.6733175418503
car_151,2015,161000,1.0,Benzin,Manuelni 5 brzina,3790,Ruma,2026-07-15,6106.5710151295225,-2316.5710151295225
car_152,2016,157000,1.2,Benzin,Manuelni 5 brzina,4990,Ruma,2026-07-15,6550.280261063328,-1560.280261063328
car_153,2009,165906,1.1,Benzin,Manuelni 5 brzina,2900,Aleksandrovac,2026-07-15,3522.1099855404896,-622.1099855404896
car_154,2013,190222,1.6,Dizel,Manuelni 5 brzina,5500,Kula,2026-07-15,5132.687993393257,367.3120066067431
car_155,2014,130000,1.2,Benzin,Manuelni 5 brzina,4899,Niš,2026-07-15,5805.461832592019,-906.4618325920192
car_156,2010,178334,1.1,Benzin,Manuelni 5 brzina,3199,Smederevska Palanka,2026-07-15,3898.8868360035417,-699.8868360035417
car_157,2022,131993,1.2,Benzin,,11290,Beograd,2026-07-15,9216.638544204687,2073.3614557953133
car_158,2019,37500,1.2,Benzin,Manuelni 5 brzina,9000,Bežanijska Kosa,2026-07-15,8319.39390786815,680.6060921318494
car_159,2007,165000,1.6,Dizel,Manuelni 5 brzina,2500,Kragujevac,2026-07-15,2670.9770983758617,-170.97709837586171
car_160,2021,66756,1.2,Benzin,Manuelni 5 brzina,7650,Kraljevo,2026-07-15,9055.020743681562,-1405.0207436815617
car_161,2021,128886,1.2,Benzin,Manuelni 5 brzina,8550,Jagodina,2026-07-15,8801.885259715289,-251.88525971528907
car_162,2021,128110,1.5,Dizel,Manuelni 5 brzina,10250,Jagodina,2026-07-15,8805.046906835163,1444.953093164837
car_163,2021,129000,1.2,Benzin,,9999,Požega,2026-07-15,8801.420790937369,1197.579209062631
car_164,2019,107455,1.5,Dizel,Manuelni 5 brzina,8950,Jagodina,2026-07-15,8034.377124013964,915.622875986036
car_165,2016,100000,1.2,Benzin,Manuelni 5 brzina,5650,Zvezdara,2026-07-15,6782.514650023211,-1132.5146500232113
car_166,2020,29733,1.2,Benzin,Manuelni 5 brzina,8650,Kragujevac,2026-07-15,8778.450994910936,-128.45099491093606
car_167,2016,131000,1.2,Benzin,Manuelni 5 brzina,6500,Požarevac,2026-07-15,6656.211736729239,-156.21173672923942
car_168,2015,158200,1.2,Benzin,Manuelni 5 brzina,5490,Stara Pazova,2026-07-15,6117.9790202012355,-627.9790202012355
car_169,2014,107000,1.2,Benzin,Manuelni 5 brzina,4990,Petrovaradin,2026-07-15,5899.170445681095,-909.1704456810949
car_170,2020,192132,1.5,Dizel,Manuelni 6 brzina,7900,Beograd,2026-07-15,8116.790775039076,-216.79077503907592
car_171,2005,260000,1.4,Dizel,Manuelni 5 brzina,2300,Kikinda,2026-07-15,1429.0955917798913,870.9044082201087
car_172,2017,125158,1.2,Benzin,Manuelni 5 brzina,7450,Nova Varoš,2026-07-15,7107.4258202852225,342.57417971477753
car_173,2022,110026,1.5,Dizel,Manuelni 6 brzina,10250,Jagodina,2026-07-15,9306.138418279805,943.8615817201953
car_174,2015,182000,1.2,Benzin,Manuelni 5 brzina,4599,Niš,2026-07-15,6021.010977091671,-1422.0109770916706
car_175,2012,193000,1.4,Dizel,Manuelni 5 brzina,4900,Rakovica,2026-07-15,4693.957526815749,206.04247318425132
car_176,2025,13824,1.2,Benzin,Manuelni 6 brzina,11999,Novi Beograd,2026-07-15,10980.32931431292,1018.6706856870805
car_177,2011,195000,1.6,Dizel,Manuelni 5 brzina,4350,Loznica,2026-07-15,4258.396855933051,91.60314406694943
car_178,2021,25000,1.2,Benzin,Manuelni 5 brzina,6800,Loznica,2026-07-15,9225.146693601015,-2425.1466936010147
car_179,2019,105443,1.2,Benzin,Manuelni 5 brzina,6900,Čukarica,2026-07-15,8042.5745905154945,-1142.5745905154945
car_180,2022,57676,1.2,Benzin,Manuelni 5 brzina,10990,Beograd,2026-07-15,9519.427370245592,1470.572629754408
